"<i>T</i>(s)","<i>S</i>ₐₑᴅ(g)"
0,0.277
0.020688,0.692
0.05,0.692
0.1,0.692
0.103442,0.692
0.15,0.477
0.2,0.358
0.25,0.286
0.3,0.239
0.35,0.205
0.4,0.179
0.45,0.159
0.5,0.143
0.55,0.13
0.6,0.119
0.65,0.11
0.7,0.102
0.75,0.095
0.8,0.089
0.85,0.084
0.9,0.08
0.95,0.075
1,0.072
1.05,0.068
1.1,0.065
1.15,0.062
1.2,0.06
1.25,0.057
1.3,0.055
1.35,0.053
1.4,0.051
1.45,0.049
1.5,0.048
1.55,0.046
1.6,0.045
1.65,0.043
1.7,0.042
1.75,0.041
1.8,0.04
1.85,0.039
1.9,0.038
1.95,0.037
2,0.036
2.05,0.035
2.1,0.034
2.15,0.033
2.2,0.033
2.25,0.032
2.3,0.031
2.35,0.03
2.4,0.03
2.45,0.029
2.5,0.029
2.55,0.028
2.6,0.028
2.65,0.027
2.7,0.027
2.75,0.026
2.8,0.026
2.85,0.025
2.9,0.025
2.95,0.024
3,0.024